,logFC,AveExpr,t,P.Value,adj.P.Val,B
mmu-miR-142a-3p,-4.29905316441719,7.78171899120747,-3.20804298450074,0.00833227099486541,0.0198231806675229,-3.26492206595933
mmu-miR-1943-3p,1.18758512935214,2.83927686801308,3.18757447697101,0.00864149651266474,0.0204253553935712,-2.77898012738233
mmu-miR-128-1-5p,0.776368543673843,4.15919762102788,3.17819631988316,0.00878704382144381,0.0205455646919424,-3.16759749833609
mmu-miR-182-5p,-1.17218853482347,4.88418974054992,-3.17674697293631,0.00880975836606784,0.0205455646919424,-3.15388049489952
mmu-miR-149-5p,1.19669123196251,11.8605510804376,3.17344782747797,0.00886168586987625,0.0205455646919424,-3.39991439316051
mmu-miR-148a-5p,-1.1699207669301,5.50046686661416,-3.16896190161516,0.00893279152452474,0.020579342499538,-3.29776964881604
mmu-miR-744-3p,-2.43318313142715,3.10114779141783,-3.15382367932494,0.00917704491367441,0.020898901081756,-2.86608927316268
mmu-miR-708-5p,-2.4870589211428,1.07302941059931,-3.15325629455769,0.00918633014582683,0.020898901081756,-2.73026931783757
mmu-miR-411-3p,-1.70207073190073,2.68722815804095,-3.12193413917617,0.00971396674609876,0.0219620117737885,-2.89534591865634
mmu-miR-92b-3p,0.879177742990921,8.13371122392774,3.11702858283379,0.00979934043685751,0.0220182711050379,-3.59583217670753
mmu-miR-351-5p,0.771331730760568,10.8093047787739,3.1001358026996,0.0100991869703135,0.0225273763071339,-3.56101568320094
mmu-miR-203-3p,-1.88344264002915,6.28553232871702,-3.09734018281525,0.0101496970174999,0.0225273763071339,-3.48262256339058
mmu-miR-350-3p,-1.80949359423725,3.42137642056532,-3.08519421371469,0.0103721283746877,0.0228815438084019,-3.01860171151431
mmu-miR-339-3p,0.705256679795121,6.99300163563419,3.07148097383433,0.0106291909656161,0.0233073825993027,-3.67544930975216
mmu-miR-499-3p,-2.79148761890631,2.7971634619611,-3.05841230534205,0.0108801598951651,0.0235993429239478,-3.0155418148394
mmu-miR-92a-1-5p,0.656685612016364,4.60478268403477,3.05780307332751,0.0108920044264374,0.0235993429239478,-3.4900314187973
mmu-miR-673-3p,0.830074855344476,4.04141086098996,3.05350995933132,0.0109758399755246,0.0236402707165145,-3.35535307610488
mmu-miR-29a-5p,-3.01885057212498,4.28118548396989,-3.04699321095873,0.0111043450996975,0.023776362448764,-3.10675125223127
mmu-let-7a-2-3p,-2.28009428400942,0.987086466866099,-3.02641873090373,0.0115201067539653,0.0244246925383508,-2.93246589292535
mmu-miR-335-3p,-2.59889878855415,5.64653532820928,-3.02457865963813,0.0115580466634328,0.0244246925383508,-3.36707216849739
mmu-miR-486a-5p,0.942787257131078,15.6470465482534,3.0194099731656,0.0116652936168828,0.0244246925383508,-3.59015251839507
mmu-miR-15a-3p,-2.33422256011599,1.68799970822374,-3.01891867333313,0.0116755398397611,0.0244246925383508,-3.00878183682858
mmu-miR-1947-5p,0.605861433063755,4.84192584573672,3.00925220119996,0.0118789924845874,0.0247083043679419,-3.62571162430147
mmu-miR-331-5p,0.946413642790067,3.78384885819286,2.99215964148888,0.0122475255298073,0.0251747323334793,-3.38744163277799
mmu-miR-378a-5p,0.651112286585548,9.3713905651585,2.99202429853624,0.0122504891441114,0.0251747323334793,-3.79813857602899
mmu-miR-449a-5p,-2.17201300543637,0.790749511649194,-2.98928074777437,0.0123107207564817,0.0251747323334793,-2.97890149180548
mmu-let-7g-5p,-1.48883434089364,11.9730555959886,-2.97013035810166,0.0127395295128005,0.0259060823612256,-3.76287727226164
mmu-miR-17-3p,0.785531364014176,4.53901250439465,2.94147068213724,0.0134094923375825,0.027116973393778,-3.69134250210118
mmu-miR-27b-5p,-0.857325858996612,7.01564398210127,-2.9292843588308,0.0137049860857004,0.02756140848174,-3.91847132193171
mmu-miR-1960,0.73286862536814,3.86920219922366,2.92404279155567,0.0138340856298056,0.0276681712596112,-3.52747053290213
mmu-miR-100-3p,-1.91619853801987,1.37265450950352,-2.87805242372102,0.0150204235463807,0.0298743158340674,-3.2079920399825
mmu-miR-433-3p,0.861537986963928,4.11497699293096,2.87505085420133,0.0151013025095286,0.0298743158340674,-3.69683826269633
mmu-miR-322-3p,-1.53199216944546,7.44826171520984,-2.86057626779167,0.0154974892501451,0.0304923572273126,-4.03833781717759
mmu-miR-30e-3p,-0.989764995363892,10.8607724209457,-2.84726090937506,0.0158711214100361,0.0310596139422212,-4.01121364352621
mmu-let-7d-5p,0.614297514270991,11.9632388599813,2.82896989844348,0.016399093411518,0.0319212299561099,-4.01189143614788
mmu-miR-181c-3p,-0.628923305656799,7.50343464761588,-2.8196543445497,0.0166746933942181,0.0322850446568903,-4.12365254077076
mmu-let-7i-5p,-0.876507527221305,12.5763715681557,-2.77840606444785,0.0179516108414838,0.0345734727317466,-4.08718258999753
