,logFC,AveExpr,t,P.Value,adj.P.Val,B
mmu-miR-501-3p,0.638075870737197,5.40670209020888,3.12024503075094,0.00980540471300402,0.00980540471300402,-4.261861154182
mmu-miR-376b-3p,-2.37748290268647,0.714073705778006,-2.70366835953229,0.0206104117574403,0.0206104117574403,-4.56324350124718
mmu-miR-3061-3p,-0.556509649630073,3.90461239752861,-2.70159983724256,0.0206865661574203,0.0206865661574203,-4.40435416265143
mmu-miR-222-5p,-0.527870286190631,3.5622027553692,-2.2160659822975,0.048825698846772,0.048825698846772,-4.47673531128418
