miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq
mmu-miR-485-3p	10	8	13	11	15	16	14	25	22	10
mmu-miR-376b-3p	10	0	12	11	0	7	17	19	24	15
mmu-miR-17-3p	81	50	49	41	54	22	87	70	81	50
mmu-miR-652-3p	870	969	650	448	752	784	1298	1131	1366	1023
mmu-miR-450b-3p	0	15	15	9	14	11	18	11	20	11
mmu-miR-34c-3p	29	22	24	0	34	33	37	49	48	32
mmu-miR-455-3p	93	66	42	34	57	230	134	486	884	466
mmu-miR-27a-3p	24749	17600	16814	11805	17682	17418	27720	29961	44238	20788
mmu-miR-700-3p	27	46	27	20	32	35	43	32	74	34
mmu-miR-181a-1-3p	4347	4595	3944	2599	3826	3379	4237	3154	3669	2951
mmu-miR-100-3p	15	16	17	8	12	17	20	19	13	14
mmu-miR-350-3p	64	48	39	45	56	45	82	71	104	50
mmu-miR-877-3p	27	41	41	0	0	25	48	40	36	29
mmu-miR-214-3p	381	373	286	279	452	788	1731	2202	2569	1220
mmu-miR-301b-3p	18	8	0	9	0	13	14	18	11	8
mmu-miR-674-3p	445	475	426	271	535	311	786	741	801	534
mmu-let-7c-1-3p	96	55	82	83	75	46	87	102	128	75
mmu-miR-99a-3p	127	105	95	67	95	196	208	260	217	169
mmu-miR-30b-3p	121	103	80	47	88	85	101	70	86	76
mmu-miR-212-3p	285	315	273	205	444	284	376	403	777	221
mmu-miR-32-3p	11	13	13	0	10	7	18	15	6	12
mmu-miR-221-3p	2790	3110	2184	1747	1987	4527	4816	5068	5682	3568
mmu-miR-503-3p	82	84	62	49	65	48	77	86	96	59
mmu-let-7b-3p	875	952	893	554	704	555	1115	906	1026	834
mmu-miR-99b-3p	74	89	79	68	106	91	117	158	161	75
mmu-miR-30c-1-3p	678	579	626	426	499	309	541	428	419	392
mmu-miR-30d-3p	922	688	689	440	670	500	783	695	930	589
mmu-miR-543-3p	6	8	12	0	0	10	12	11	22	0
mmu-miR-1198-3p	0	21	16	19	24	0	0	13	18	0
mmu-miR-3098-3p	22	24	29	20	40	18	18	24	18	12
mmu-miR-335-3p	345	552	342	210	598	604	448	486	990	346
mmu-miR-487b-3p	8	0	8	0	23	7	13	27	17	11
mmu-miR-598-3p	19	22	13	28	15	26	20	26	38	26
mmu-miR-93-3p	36	32	37	26	50	21	68	51	51	42
mmu-miR-378a-3p	302604	274945	260392	170205	227164	206245	292244	201795	245493	202568
mmu-miR-151-3p	29127	30942	26144	16524	23404	38191	37004	29995	39539	27476
mmu-miR-185-3p	80	62	62	63	59	77	88	69	66	58
