miRNA	165_sham 1_R1.fastq	175_sham 2_R1.fastq	189_sham 3_R1.fastq	606_sham 4_R1.fastq	608_sham 5_R1.fastq	156_TAC 1_R1.fastq	157_TAC 2_R1.fastq	541_TAC 3_R1.fastq	612_TAC 4_R1.fastq	631_TAC 5_R1.fastq	533_TAC+PDE5AI 1_R1.fastq	536_TAC+PDE5AI 2_R1.fastq	627_TAC+PDE5AI 3_R1.fastq	647_TAC+PDE5AI 4_R1.fastq	697_TAC+PDE5AI 5_R1.fastq	151_TAC+PDE9AI 1_R1.fastq	528_TAC+PDE9AI 2_R1.fastq	529_TAC+PDE9AI 3_R1.fastq	531_TAC+PDE9AI 4_R1.fastq	542_TAC+PDE9AI 5_R1.fastq	676_TAC+PDE9AI 6_R1.fastq
mmu-miR-3061-5p	20	19	28	16	20	17	32	17	28	15	21	34	11	6	3	19	22	27	24	13	26
mmu-miR-3065-3p	105	121	123	149	207	153	311	192	114	75	92	224	0	0	134	246	106	252	115	130	171
mmu-miR-3068-3p	176	142	99	112	141	143	179	200	335	130	22	67	4	12	6	178	176	200	215	9	174
mmu-miR-3068-5p	41	26	18	24	32	39	43	57	71	16	13	15	3	0	0	33	35	33	42	0	33
mmu-miR-3071-3p	30	18	24	25	25	19	42	40	48	26	0	15	0	0	0	36	21	24	42	0	21
mmu-miR-3071-5p	167	177	207	161	224	119	230	185	165	91	0	157	0	0	0	105	0	105	200	0	158
mmu-miR-3074-1-3p	20	19	16	16	22	10	39	31	20	20	16	23	7	0	13	22	15	21	24	0	16
mmu-miR-3074-5p	278	217	218	130	229	443	441	409	644	171	104	129	28	22	19	251	163	204	268	27	107
mmu-miR-3076-3p	31	29	22	19	0	0	40	30	0	0	25	28	0	9	0	29	29	31	29	0	0
mmu-miR-3082-3p	68	63	57	44	75	58	63	66	85	63	26	42	13	17	8	71	52	69	73	0	47
mmu-miR-3084-3p	42	27	23	0	53	33	29	34	53	29	13	29	5	8	0	52	22	40	46	0	37
mmu-miR-3084-5p	10	0	11	0	0	7	10	11	21	0	0	11	0	0	0	17	9	10	12	0	19
mmu-miR-3086-5p	20	9	17	11	17	19	16	17	10	12	14	23	0	0	0	25	13	17	18	8	0
mmu-miR-3098-3p	22	24	29	20	40	18	18	24	18	12	6	34	9	10	0	43	15	33	21	5	42
mmu-miR-3098-5p	33	20	34	35	35	16	24	26	24	19	0	29	9	8	0	29	26	28	18	6	34
mmu-miR-30a-3p	8839	8127	7828	4756	6224	6253	7915	5692	7108	5726	3302	4461	1174	1040	677	7252	5986	5571	7879	1293	5457
mmu-miR-30a-5p	331220	201498	209036	141931	200522	238632	216658	182710	275457	182726	69568	120273	13873	8582	5671	206551	223893	178932	263882	18190	175220
mmu-miR-30b-3p	121	103	80	47	88	85	101	70	86	76	54	69	33	24	12	89	75	70	101	27	83
mmu-miR-30b-5p	20220	12944	13905	10095	14566	4679	15025	12136	17859	11592	3072	5387	309	195	188	16500	14848	11889	18222	601	13103
mmu-miR-30c-1-3p	678	579	626	426	499	309	541	428	419	392	382	385	171	161	161	481	428	371	544	242	530
mmu-miR-30c-2-3p	1063	1037	1184	687	832	677	1034	730	732	686	696	680	307	322	287	931	823	769	871	527	798
mmu-miR-30c-5p	87133	64505	71503	49503	64781	24533	71732	52767	65384	57473	21861	35678	3603	2231	1455	65100	66819	52056	61653	5823	58935
mmu-miR-30d-3p	922	688	689	440	670	500	783	695	930	589	80	164	15	10	10	650	677	488	920	13	543
mmu-miR-30d-5p	177183	140093	123783	80016	121042	117248	146801	112743	156159	110126	81536	97984	38050	30600	21625	144774	115438	118623	144316	35142	107964
mmu-miR-30e-3p	13317	11582	11106	7552	9330	8618	10227	6803	8557	8450	3531	4869	1028	815	606	9222	8087	6211	9769	1276	7613
mmu-miR-30e-5p	217057	129661	138620	101401	135763	110597	130202	95332	141520	110535	25976	53896	2238	1357	1357	117627	143643	90762	131544	4137	120243
mmu-miR-31-3p	28	21	0	20	24	14	13	28	20	8	0	10	0	0	0	15	14	9	23	0	17
mmu-miR-31-5p	649	735	409	304	652	473	906	862	967	547	452	398	174	215	169	970	488	780	1404	191	558
mmu-miR-3100-5p	30	0	20	0	0	0	29	32	36	19	0	28	0	12	0	24	18	0	25	0	0
mmu-miR-3102-3p	178	200	193	105	194	86	232	254	375	235	219	237	128	133	115	185	162	306	355	107	137
mmu-miR-3102-3p.2-3p	104	105	126	79	116	69	70	131	140	88	105	105	0	59	54	117	69	110	175	68	68
mmu-miR-3102-5p.2-5p	30	28	15	20	21	10	25	37	35	23	17	32	13	10	15	29	20	31	44	14	20
mmu-miR-3109-3p	13	14	0	17	21	14	17	20	33	17	11	18	0	4	0	24	13	23	24	0	13
mmu-miR-32-3p	11	13	13	0	10	7	18	15	6	12	0	0	0	2	0	15	15	13	5	0	8
mmu-miR-32-5p	151	105	97	119	95	76	126	106	160	101	9	4	0	0	3	84	137	64	106	0	60
mmu-miR-320-3p	1571	1876	1836	982	1396	1360	2868	2163	2234	1755	2037	1667	1454	1491	1814	2526	1380	2342	3485	1577	1225
mmu-miR-322-3p	1075	732	772	529	732	744	1025	1055	1585	722	456	560	59	56	25	856	1061	915	893	95	787
mmu-miR-322-5p	6934	5388	4699	3195	4723	4653	7798	6733	10939	5324	864	1934	64	45	33	6812	7564	5879	6957	94	4708
mmu-miR-324-3p	66	72	67	48	69	45	96	91	100	66	64	90	50	55	58	90	60	100	160	43	53
mmu-miR-324-5p	110	117	66	45	64	111	177	176	190	82	100	96	63	66	70	180	85	161	208	77	64
mmu-miR-326-3p	124	132	106	83	121	69	201	234	241	128	111	161	91	107	68	169	163	268	272	68	88
mmu-miR-328-3p	4281	4325	4943	3329	3398	2387	5116	3559	3751	3512	3578	3707	2820	2902	3133	4166	3614	3666	4354	3175	3422
mmu-miR-329-3p	0	90	0	0	49	94	74	76	83	31	0	23	0	0	6	121	22	77	73	0	48
mmu-miR-329-5p	36	16	26	23	34	28	41	54	54	28	26	28	11	10	23	47	24	46	66	10	28
mmu-miR-33-3p	22	11	21	20	22	0	23	0	21	13	0	0	0	0	0	28	19	25	22	0	0
mmu-miR-33-5p	39	33	20	39	36	26	52	56	77	32	0	0	0	0	0	31	37	35	41	0	31
mmu-miR-330-3p	68	57	52	46	86	45	83	66	92	51	45	84	49	57	36	93	58	96	59	32	65
mmu-miR-330-5p	193	223	173	139	173	165	239	252	314	187	113	150	54	51	46	226	220	254	272	66	150
mmu-miR-331-3p	357	328	226	167	242	120	460	426	639	394	317	358	243	225	172	427	364	488	504	143	234
mmu-miR-331-5p	40	35	33	51	60	34	43	23	31	38	28	45	10	18	17	51	33	39	42	17	39
mmu-miR-335-3p	345	552	342	210	598	604	448	486	990	346	82	225	14	12	0	246	507	555	416	16	352
mmu-miR-335-5p	348	393	356	256	556	436	477	441	1309	362	81	138	0	6	0	308	876	384	527	5	548
mmu-miR-337-3p	15	13	12	0	22	11	15	16	20	12	0	0	0	0	0	21	11	21	44	0	18
mmu-miR-337-5p	47	44	31	21	45	36	74	75	110	53	59	41	25	28	24	67	43	85	115	19	22
mmu-miR-338-3p	586	388	529	391	412	263	400	331	359	291	58	168	38	22	32	436	321	300	366	42	313
mmu-miR-338-5p	22	24	44	20	26	20	35	17	19	16	16	30	8	6	0	41	19	27	28	9	31
mmu-miR-339-3p	324	336	290	187	304	146	417	433	461	297	225	291	161	168	132	359	338	448	451	142	233
mmu-miR-339-5p	306	314	222	155	250	219	396	341	417	238	152	212	83	109	82	417	240	372	464	95	192
mmu-miR-340-3p	164	119	133	113	148	57	163	172	245	125	31	85	9	7	10	111	154	141	172	4	105
mmu-miR-340-5p	1365	756	821	579	843	1335	1090	1275	2372	836	111	160	28	19	51	1021	1393	693	2059	34	760
mmu-miR-341-3p	43	40	35	25	35	80	44	97	93	50	27	48	16	26	7	72	40	83	125	20	28
mmu-miR-342-3p	612	576	551	286	486	346	915	759	1093	631	424	539	216	205	151	752	646	749	1003	136	434
mmu-miR-342-5p	20	25	12	16	36	15	23	28	34	13	26	28	8	11	11	27	12	22	38	6	13
mmu-miR-344d-3p	15	0	9	7	12	24	19	22	30	21	8	24	4	3	3	12	12	32	20	4	0
mmu-miR-345-3p	422	358	306	223	317	242	371	332	551	299	227	333	89	70	69	331	405	390	501	88	281
mmu-miR-345-5p	341	239	254	177	238	195	386	291	395	277	201	316	119	96	76	329	272	402	373	81	226
mmu-miR-3470a	58	59	69	76	66	72	60	80	40	39	40	137	29	23	21	107	35	90	75	44	112
mmu-miR-3470b	108	75	64	72	107	102	103	97	58	59	74	166	38	27	35	184	62	121	92	55	158
mmu-miR-3473b	16	30	15	18	18	12	27	15	15	5	11	30	6	7	11	35	9	22	12	8	19
mmu-miR-3473d	40	43	60	45	47	0	57	59	59	43	30	42	10	15	0	58	43	44	43	28	49
mmu-miR-34a-5p	1356	1079	854	514	674	744	1441	916	1359	1056	715	918	385	319	278	1028	979	1104	1017	314	681
mmu-miR-34b-3p	20	21	18	24	29	30	46	92	83	42	24	24	6	11	0	62	21	80	91	10	22
mmu-miR-34b-5p	20	13	8	11	18	32	43	85	100	42	12	18	0	4	0	73	17	63	107	0	20
mmu-miR-34c-3p	29	22	24	0	34	33	37	49	48	32	12	40	0	6	0	53	26	46	57	0	17
mmu-miR-34c-5p	191	243	217	137	256	526	892	1552	2227	791	404	313	40	84	65	1201	373	1454	2156	65	192
mmu-miR-350-3p	64	48	39	45	56	45	82	71	104	50	18	30	4	8	0	92	44	101	144	0	45
mmu-miR-350-5p	83	90	68	42	86	92	117	93	131	74	77	86	52	47	46	97	77	91	138	43	67
mmu-miR-351-5p	3114	3456	2757	1887	3081	3260	4735	5189	7414	3129	3018	3271	2421	2887	2068	2608	3579	4941	3851	1740	2535
mmu-miR-3535	44	35	29	27	28	30	40	35	37	20	13	27	3	0	0	44	38	44	48	0	35
mmu-miR-361-3p	448	346	355	296	368	341	540	466	524	406	320	479	264	192	193	565	383	521	612	169	333
mmu-miR-361-5p	824	685	572	400	532	737	970	901	1123	643	642	592	249	223	133	1052	633	1224	1099	213	655
mmu-miR-362-3p	66	30	27	37	38	48	68	67	79	60	10	22	0	0	0	61	55	53	91	0	30
mmu-miR-362-5p	16	21	15	13	29	8	26	28	22	20	13	27	0	0	5	36	22	17	31	0	26
mmu-miR-363-3p	0	13	12	8	0	5	12	9	17	0	0	0	0	0	0	18	9	18	16	0	0
mmu-miR-365-3p	270	189	190	101	191	136	310	320	463	213	149	169	64	58	20	308	234	297	315	60	180
mmu-miR-369-3p	17	13	11	9	22	14	22	30	26	21	0	0	0	0	0	22	18	16	28	0	11
mmu-miR-369-5p	16	20	21	13	12	16	15	32	35	25	9	12	3	0	0	32	17	22	47	0	15
mmu-miR-374b-5p	180	85	84	74	87	85	97	96	135	94	54	64	4	3	0	137	101	102	207	3	116
mmu-miR-374c-3p	39	18	21	16	18	25	27	24	21	19	6	10	0	0	0	21	19	25	32	0	13
mmu-miR-375-3p	16	30	9	17	24	13	39	18	24	18	9	23	0	8	12	31	14	16	26	9	22
mmu-miR-376a-5p	0	9	11	18	14	0	25	17	27	11	0	0	0	0	0	14	6	16	17	0	15
mmu-miR-376b-3p	10	0	12	11	0	7	17	19	24	15	0	0	0	0	0	11	0	0	27	0	8
mmu-miR-376b-5p	26	20	19	21	21	12	48	42	48	26	10	6	0	0	4	38	28	37	59	0	22
mmu-miR-376c-3p	14	10	9	10	14	15	17	20	28	19	3	0	0	0	0	24	10	16	28	0	17
mmu-miR-378a-3p	302604	274945	260392	170205	227164	206245	292244	201795	245493	202568	160240	203613	72903	64854	46024	238383	221383	204682	259789	79334	199620
mmu-miR-378a-5p	2310	2472	1675	1012	1727	900	2300	1621	2256	2018	1306	1680	853	676	642	2064	1551	1935	2178	614	1287
mmu-miR-378b	5416	4351	4199	2965	3850	3546	5042	3437	4418	2613	1431	2469	707	432	365	2681	2840	2450	3220	660	2517
mmu-miR-378c	10421	7945	7305	5382	6961	4555	8331	5477	6802	4926	2527	4044	1018	800	576	5561	5850	4528	6273	1139	5103
mmu-miR-378d	106	100	109	65	97	85	121	84	87	0	51	59	17	20	0	62	75	49	81	37	65
mmu-miR-379-3p	24	16	19	18	17	18	31	49	46	25	9	23	4	0	2	33	16	33	54	0	34
mmu-miR-379-5p	112	59	62	30	70	146	154	155	247	112	91	56	6	7	0	137	79	156	194	15	60
mmu-miR-380-3p	14	10	8	7	27	9	12	21	45	14	0	10	0	0	0	18	17	19	16	0	0
mmu-miR-381-3p	153	114	140	85	120	180	207	196	268	215	65	86	14	14	11	181	124	262	314	25	91
mmu-miR-382-5p	19	14	16	16	16	24	23	20	16	8	25	22	0	14	7	27	11	34	43	5	11
mmu-miR-3963	2329	1921	2114	1966	2378	0	0	0	2111	0	0	728	0	0	0	1700	1714	1401	2289	396	0
mmu-miR-409-3p	49	83	82	32	54	101	77	127	177	78	70	46	22	63	28	79	55	117	139	24	52
mmu-miR-409-5p	0	11	0	0	10	0	0	16	19	8	3	0	0	0	0	11	7	23	12	0	10
mmu-miR-410-3p	136	118	93	93	117	260	170	306	480	137	103	100	24	42	12	193	105	238	369	24	95
mmu-miR-411-3p	20	16	24	11	23	32	32	42	61	30	14	9	2	6	0	26	36	36	54	0	15
mmu-miR-411-5p	1149	902	850	611	999	2374	1950	2516	3843	1569	657	675	146	145	91	2032	1123	2007	3788	127	798
mmu-miR-421-3p	262	225	226	157	223	272	319	371	471	243	167	177	28	20	11	328	304	341	469	45	208
mmu-miR-423-3p	3145	3403	3126	2122	2674	1330	4169	3419	3651	2826	2984	2771	2179	2393	2255	3305	2620	3541	3550	2248	2675
mmu-miR-423-5p	1913	2123	2620	1921	1817	1114	2865	2262	2147	1847	2197	1758	1562	1799	1880	2334	1856	2395	2464	2046	1771
mmu-miR-425-3p	216	204	205	180	215	123	260	243	251	170	171	225	106	103	107	236	160	222	198	123	157
mmu-miR-425-5p	854	816	723	494	720	813	1102	1150	1732	798	575	700	231	209	92	1051	881	1160	1338	213	604
mmu-miR-429-3p	9	0	14	12	12	10	13	24	15	7	6	11	0	0	0	18	6	13	23	0	14
mmu-miR-431-5p	58	58	51	45	85	118	122	173	209	91	74	87	24	42	23	130	66	173	159	45	54
mmu-miR-433-3p	22	23	20	29	42	41	48	56	45	20	31	42	16	22	35	38	19	52	46	22	24
mmu-miR-434-3p	533	450	499	363	508	304	1211	1492	1658	874	290	289	89	141	115	1181	478	1029	1943	91	450
mmu-miR-434-5p	123	129	104	65	113	124	252	354	453	184	65	80	10	11	9	237	139	270	321	15	98
mmu-miR-449a-5p	0	0	0	9	19	19	15	11	8	9	0	10	0	0	0	12	7	21	15	0	0
mmu-miR-450a-5p	358	294	274	209	247	157	344	284	483	253	47	129	6	9	12	256	310	265	296	0	244
mmu-miR-450b-3p	0	15	15	9	14	11	18	11	20	11	9	11	0	0	0	28	14	16	15	0	17
mmu-miR-450b-5p	234	130	139	97	149	134	153	152	318	122	14	29	0	0	0	125	196	113	167	0	121
mmu-miR-451a	6122	1830	2999	3349	3259	1770	2520	3485	7764	3025	710	1712	66	34	23	1671	5625	3027	3533	78	3170
mmu-miR-455-3p	93	66	42	34	57	230	134	486	884	466	95	94	93	74	65	142	76	1124	654	25	56
mmu-miR-455-5p	1463	626	566	1342	684	436	648	783	646	356	50	57	9	0	0	888	406	478	783	32	814
mmu-miR-466a-3p/mmu-miR-466e-3p	5	7	3	7	6	0	3	6	8	6	0	0	0	0	0	0	8	9	10	0	4
mmu-miR-466i-5p	9	8	2	7	14	9	7	8	16	7	5	21	5	2	7	17	7	12	8	0	8
mmu-miR-467b-5p	18	17	17	9	18	5	20	9	28	9	7	15	0	2	0	16	6	11	16	0	15
mmu-miR-467c-5p	19	19	13	10	19	11	14	11	19	9	13	17	6	4	5	15	21	23	16	6	23
mmu-miR-467d-5p	18	32	13	17	15	6	14	7	13	8	12	17	6	0	0	17	17	14	14	0	14
mmu-miR-467e-5p	22	10	13	9	13	5	19	11	16	11	0	9	0	0	0	9	16	6	7	0	13
mmu-miR-470-5p	30	19	22	13	31	20	29	20	28	18	15	0	0	8	0	31	21	19	30	0	21
mmu-miR-483-3p	44	69	38	0	66	36	0	51	36	27	31	103	18	30	0	72	0	61	39	0	68
mmu-miR-484	1861	1872	1442	1081	1783	820	2260	2284	2977	2123	1577	1871	1322	1187	952	1831	1957	2766	2761	853	1340
mmu-miR-485-3p	10	8	13	11	15	16	14	25	22	10	12	14	0	4	6	20	7	26	12	11	13
mmu-miR-485-5p	22	14	16	13	28	10	15	28	17	12	13	17	6	8	11	26	16	15	25	5	13
mmu-miR-486a-3p	6678	6767	6337	4472	4890	6632	6543	4552	6035	2962	2895	2977	2156	2104	2139	2630	3003	3191	2515	2691	2831
mmu-miR-486a-5p	138276	142386	118791	80834	97532	142063	148879	92363	122235	108701	89404	95505	80395	69665	78216	88608	98081	114325	88835	82343	87091
mmu-miR-486b-3p	3274	3221	2919	1967	2316	3731	3163	2329	3074	1086	961	1049	612	610	572	901	1014	1158	852	763	939
mmu-miR-486b-5p	707552	708192	591756	392051	495600	768662	717923	515228	685290	557230	438757	467154	420923	391277	367852	470013	509553	592057	452365	397632	426211
mmu-miR-487b-3p	8	0	8	0	23	7	13	27	17	11	0	0	0	0	0	11	10	15	20	5	0
mmu-miR-488-3p	88	58	59	43	73	58	85	97	85	69	0	33	10	0	0	76	78	57	76	12	47
mmu-miR-488-5p	21	9	10	0	19	11	14	10	14	6	0	0	0	0	0	24	11	16	0	0	0
mmu-miR-490-3p	1347	1507	1158	770	1322	1264	1820	1835	2954	1235	1068	1257	469	545	332	1640	1208	1722	1769	479	1190
mmu-miR-490-5p	32	67	32	27	51	26	37	48	45	33	29	46	30	38	19	46	22	42	33	18	25
mmu-miR-496a-3p	8	0	0	0	0	10	0	16	20	9	0	10	0	0	0	7	5	2	13	0	14
mmu-miR-497a-5p	1594	1579	1479	1095	1671	1079	4229	4396	4344	2858	1437	1806	689	692	390	3708	2209	3677	4958	479	1391
mmu-miR-499-3p	113	48	60	68	92	37	89	65	70	59	24	71	0	0	0	81	85	49	49	0	69
mmu-miR-499-5p	7998	5010	5442	3625	4439	2023	5298	2896	4457	4700	516	1390	79	21	40	3592	6656	3518	3329	78	4190
mmu-miR-500-3p	36	28	32	23	49	32	52	67	81	49	37	54	11	26	30	95	34	62	81	21	36
mmu-miR-501-3p	76	76	64	46	77	111	138	137	158	116	157	178	116	127	118	173	144	204	321	79	94
mmu-miR-501-5p	0	45	0	0	0	31	49	49	39	31	39	0	13	14	10	55	22	36	40	0	31
mmu-miR-503-3p	82	84	62	49	65	48	77	86	96	59	63	73	32	33	24	105	75	94	79	21	81
mmu-miR-503-5p	0	19	0	14	0	8	17	16	20	15	11	28	4	0	0	32	13	16	19	7	0
mmu-miR-504-5p	134	183	97	96	120	69	188	133	194	97	131	118	68	80	41	129	94	133	98	74	145
mmu-miR-505-3p	14	15	10	15	0	0	17	16	16	11	0	18	3	0	0	23	7	16	14	0	0
mmu-miR-505-5p	355	255	232	195	309	154	308	455	432	253	176	287	160	105	84	309	301	268	319	94	241
mmu-miR-5099	40	47	42	42	58	38	60	67	64	40	17	41	12	16	13	54	36	49	35	13	41
mmu-miR-5100	127	150	118	93	128	0	171	91	120	96	89	144	0	62	68	123	90	105	127	55	97
mmu-miR-5107-3p	0	0	0	0	24	15	15	27	14	0	0	23	0	6	0	23	15	0	23	0	18
mmu-miR-511-3p	64	51	43	33	51	36	60	59	102	32	22	49	4	6	0	82	52	75	127	0	42
mmu-miR-5114	0	24	0	0	24	21	22	22	0	0	0	36	4	7	0	0	19	26	23	0	0
mmu-miR-5121	54	43	48	55	66	28	52	67	64	33	14	51	10	0	0	70	35	45	55	0	48
mmu-miR-5122	35	29	36	17	45	31	42	42	44	35	21	48	20	15	33	42	27	42	49	15	34
mmu-miR-5126	46	63	37	50	99	48	82	72	42	36	33	207	24	22	59	88	43	65	0	57	71
mmu-miR-532-3p	44	60	52	34	65	20	75	79	69	62	55	58	49	38	39	81	55	77	113	35	37
mmu-miR-532-5p	947	925	688	450	773	1363	1431	1191	1743	1051	908	911	370	302	216	1554	960	1330	2669	321	718
mmu-miR-540-3p	35	35	29	35	45	35	38	47	53	43	33	32	17	21	20	47	27	38	59	14	24
mmu-miR-540-5p	49	22	37	0	47	29	35	53	25	33	15	50	0	0	0	59	23	40	53	0	36
mmu-miR-541-5p	408	454	435	295	427	781	892	1083	1300	661	647	425	157	166	101	819	438	1084	1412	183	317
mmu-miR-542-3p	100	54	69	48	88	135	93	70	207	51	12	21	0	0	0	98	120	68	104	0	75
mmu-miR-542-5p	35	33	32	23	23	28	43	39	48	28	23	20	15	13	5	35	31	30	32	8	22
mmu-miR-543-3p	6	8	12	0	0	10	12	11	22	0	8	8	4	0	0	14	0	13	14	0	0
mmu-miR-547-3p	56	49	39	31	51	50	87	68	93	59	15	34	0	0	0	62	55	82	65	0	66
mmu-miR-5709-5p	38	25	26	25	29	19	29	19	33	17	0	14	0	0	0	35	28	20	21	0	33
mmu-miR-574-3p	555	524	467	339	452	542	1181	1295	1306	941	718	614	347	343	258	1101	580	1284	1674	217	471
mmu-miR-574-5p	74	71	61	47	80	81	161	137	152	104	142	94	74	75	80	180	76	131	332	70	58
mmu-miR-582-3p	278	227	193	148	1799	464	414	472	602	227	115	137	36	18	11	655	296	319	583	17	173
mmu-miR-582-5p	31	29	24	23	237	29	41	58	70	24	6	8	0	0	0	78	50	32	79	0	26
mmu-miR-598-3p	19	22	13	28	15	26	20	26	38	26	0	15	0	0	0	23	18	21	23	4	0
mmu-miR-6240	10309	7119	7149	9257	23029	11653	18308	8699	14235	6518	5679	33622	3352	2815	4432	19999	9310	13207	8780	3501	13928
mmu-miR-6395	16	18	16	18	27	0	11	19	13	11	9	21	0	7	0	0	10	16	16	0	18
mmu-miR-6516-5p	41	21	26	18	26	27	36	37	54	22	29	22	4	7	5	40	24	44	30	14	30
mmu-miR-652-3p	870	969	650	448	752	784	1298	1131	1366	1023	934	870	550	577	596	1224	810	1300	1662	430	584
mmu-miR-6538	145	278	100	97	217	102	124	171	109	58	101	461	96	78	174	253	93	255	138	148	217
mmu-miR-664-3p	283	295	244	127	206	211	394	304	410	258	225	277	129	81	80	354	258	361	401	92	234
mmu-miR-664-5p	100	115	120	97	87	121	157	145	192	107	126	129	91	73	58	118	101	138	141	89	92
mmu-miR-666-3p	8	14	0	16	15	10	16	20	22	11	7	14	0	7	0	20	0	6	18	7	9
mmu-miR-666-5p	18	21	20	21	25	19	35	37	32	24	17	21	6	9	6	43	20	21	25	19	38
mmu-miR-667-3p	21	25	22	0	0	15	29	62	51	35	35	37	19	37	0	48	0	41	35	23	0
mmu-miR-668-3p	19	24	22	18	41	21	58	66	57	23	28	30	31	29	26	37	26	46	64	25	21
mmu-miR-669a-3p/mmu-miR-669o-3p	13	14	7	8	14	0	7	10	13	10	0	0	0	2	0	6	5	10	10	0	4
mmu-miR-669a-5p/mmu-miR-669p-5p	24	31	24	22	16	17	19	13	22	18	7	14	0	0	0	22	22	29	16	0	27
mmu-miR-669b-5p	5	8	4	7	8	11	10	6	8	7	2	9	0	0	0	0	7	10	7	0	6
mmu-miR-669c-5p	14	11	11	11	20	6	14	11	9	14	12	13	0	4	6	13	18	10	13	7	6
mmu-miR-669o-5p	40	20	34	19	22	0	19	14	14	18	0	0	0	0	0	0	16	17	11	0	26
mmu-miR-671-3p	336	378	376	188	309	418	598	561	567	414	309	314	231	317	236	473	324	482	729	232	258
mmu-miR-671-5p	72	56	67	33	75	49	95	98	154	86	60	81	25	19	25	105	65	92	165	18	49
mmu-miR-672-5p	20	7	9	10	21	12	23	15	11	8	6	4	0	5	3	19	12	15	15	7	10
mmu-miR-673-3p	39	25	24	0	60	34	54	47	48	25	26	63	22	12	21	50	25	38	44	25	44
mmu-miR-673-5p	70	63	51	70	94	102	114	135	134	100	97	79	27	69	51	116	67	154	212	41	65
mmu-miR-674-3p	445	475	426	271	535	311	786	741	801	534	353	407	151	170	115	662	511	827	840	137	472
mmu-miR-674-5p	201	263	215	165	263	118	403	320	399	249	253	286	162	171	143	340	280	356	369	155	182
mmu-miR-676-3p	565	662	643	469	654	690	1124	988	764	703	859	613	488	525	734	1113	519	1111	2110	693	625
mmu-miR-676-5p	208	152	121	107	194	243	244	222	231	174	47	84	8	0	0	256	167	226	468	12	140
mmu-miR-677-5p	43	23	27	45	55	50	57	46	69	43	7	6	0	0	0	62	56	35	50	0	32
mmu-miR-690	4728	3374	3576	2359	2732	3285	2202	3118	3219	2967	726	1563	157	117	55	2311	2527	1594	2226	240	1985
mmu-miR-6929-3p	20	13	19	18	21	0	14	13	0	10	0	0	0	0	0	17	15	15	12	0	18
mmu-miR-6944-3p	57	68	55	34	78	261	266	471	657	177	189	126	166	264	137	117	123	424	411	85	56
mmu-miR-6948-3p	22	25	22	20	23	16	24	34	24	13	6	28	7	0	7	25	16	17	29	0	17
mmu-miR-696	0	7	16	12	18	0	12	0	7	6	0	28	4	0	8	20	0	17	0	6	14
mmu-miR-700-3p	27	46	27	20	32	35	43	32	74	34	26	39	25	25	29	31	30	45	50	20	23
mmu-miR-700-5p	34	42	36	32	44	44	61	61	63	32	38	62	33	32	27	84	39	70	79	13	45
mmu-miR-7015-3p	52	36	41	27	39	39	59	43	56	28	24	31	0	0	0	39	37	46	31	0	29
mmu-miR-7018-3p	12	15	0	11	0	18	16	13	26	13	13	17	6	9	10	31	14	19	17	9	0
mmu-miR-7033-5p	18	0	0	13	0	0	0	21	0	16	0	0	8	9	0	37	18	23	25	6	22
mmu-miR-7035-3p	0	0	18	0	0	8	23	23	33	15	14	14	6	0	0	0	18	25	22	0	0
mmu-miR-7046-3p	51	50	61	44	51	0	63	63	69	57	71	36	32	25	31	41	41	54	67	37	41
mmu-miR-7068-3p	417	378	349	229	297	569	494	402	730	371	268	436	197	115	79	378	468	539	400	119	323
mmu-miR-708-3p	38	0	30	0	34	34	38	32	0	18	13	0	0	0	0	38	20	0	44	0	0
mmu-miR-708-5p	22	0	20	0	20	20	20	13	16	13	16	0	0	0	0	22	15	16	25	0	27
mmu-miR-7083-5p	29	36	0	27	0	29	35	28	23	14	12	32	5	13	11	0	14	32	25	14	41
mmu-miR-709	20	21	19	33	59	17	38	30	24	21	27	67	13	20	18	47	25	33	24	16	33
mmu-miR-712-5p	26	25	15	18	48	22	39	21	28	14	20	71	12	14	23	48	22	26	25	7	31
mmu-miR-714	45	32	31	37	104	27	56	42	33	25	46	122	21	14	54	66	30	37	38	20	48
mmu-miR-7213-5p	25	20	19	16	15	0	0	13	14	18	13	19	5	0	6	15	15	21	28	4	15
mmu-miR-7224-3p	36	0	0	0	50	91	121	104	170	61	51	0	45	0	0	67	40	123	174	0	0
mmu-miR-7225-5p	69	38	39	46	38	33	33	27	31	21	22	19	0	0	0	79	28	42	39	0	73
mmu-miR-7236-3p	18	13	14	0	15	18	14	15	15	11	7	0	0	0	0	14	15	17	18	0	0
mmu-miR-7237-3p	107	0	74	0	0	70	150	124	78	36	53	397	0	0	0	0	72	0	0	0	121
mmu-miR-744-3p	97	65	59	52	75	34	77	69	93	79	15	36	8	0	0	66	58	70	79	5	70
mmu-miR-744-5p	1213	1590	1356	994	1180	866	1656	1564	1899	1144	1340	1098	973	1143	1107	1593	1161	1513	1649	1107	1084
mmu-miR-7688-5p	56	54	44	48	39	114	115	172	155	71	74	76	76	61	39	88	88	187	114	68	56
mmu-miR-7689-3p	0	0	0	0	0	18	20	32	21	18	7	37	13	10	0	15	10	26	14	7	21
mmu-miR-7a-1-3p	46	35	34	33	56	32	67	37	67	34	10	11	0	0	0	51	54	46	71	0	32
mmu-miR-7a-5p	26	29	23	20	24	23	22	15	38	14	6	9	0	0	0	29	26	22	30	0	10
