miRNA	165_sham 1_R1.fastq	175_sham 2_R1.fastq	189_sham 3_R1.fastq	606_sham 4_R1.fastq	608_sham 5_R1.fastq	156_TAC 1_R1.fastq	157_TAC 2_R1.fastq	541_TAC 3_R1.fastq	612_TAC 4_R1.fastq	631_TAC 5_R1.fastq	533_TAC+PDE5AI 1_R1.fastq	536_TAC+PDE5AI 2_R1.fastq	627_TAC+PDE5AI 3_R1.fastq	647_TAC+PDE5AI 4_R1.fastq	697_TAC+PDE5AI 5_R1.fastq	151_TAC+PDE9AI 1_R1.fastq	528_TAC+PDE9AI 2_R1.fastq	529_TAC+PDE9AI 3_R1.fastq	531_TAC+PDE9AI 4_R1.fastq	542_TAC+PDE9AI 5_R1.fastq	676_TAC+PDE9AI 6_R1.fastq
mmu-miR-151-3p	29127	30942	26144	16524	23404	38191	37004	29995	39539	27476	23940	26625	17323	16217	12523	26155	25708	35727	36677	13964	19507
mmu-miR-151-5p	19860	17502	18304	10956	14365	9468	22544	18129	24132	16500	15635	16400	8026	7375	7457	17108	17875	19690	18120	8198	13818
mmu-miR-152-3p	1593	1194	1104	787	1087	1401	1627	1629	2626	1273	586	733	77	53	0	2057	1365	1744	2809	80	1145
mmu-miR-152-5p	381	284	232	139	276	444	472	454	681	337	118	182	52	46	27	413	320	465	545	50	248
mmu-miR-153-3p	68	59	74	67	128	57	81	83	105	58	6	0	0	0	0	95	75	43	82	0	68
mmu-miR-154-5p	12	15	16	8	16	24	35	37	41	34	16	21	0	8	2	33	18	44	38	0	11
mmu-miR-155-5p	761	623	586	432	512	347	695	558	779	469	431	466	176	154	112	730	557	570	756	181	470
mmu-miR-15a-3p	33	10	16	15	16	20	24	34	24	18	0	14	6	0	0	14	20	24	28	0	19
mmu-miR-15a-5p	2939	2229	2112	1484	2055	1517	3189	2456	3629	2281	517	1144	60	34	33	2806	2685	2158	3576	89	1790
mmu-miR-15b-3p	70	60	38	40	61	66	70	93	146	82	8	25	0	0	0	74	82	80	137	0	40
mmu-miR-15b-5p	412	392	298	222	344	227	555	553	748	390	357	389	288	342	256	494	436	617	787	166	272
mmu-miR-16-1-3p	41	35	36	32	45	21	44	58	40	26	0	16	0	0	0	39	36	46	53	0	24
mmu-miR-16-2-3p	60	34	28	38	39	44	45	51	89	56	16	27	0	0	4	59	68	56	85	0	40
mmu-miR-16-5p	43591	29063	29833	21364	29968	33665	44763	39509	63341	32182	18327	25310	1961	1232	719	48681	41540	42115	62548	2678	28499
mmu-miR-17-3p	81	50	49	41	54	22	87	70	81	50	48	64	34	22	25	82	66	73	106	21	55
mmu-miR-17-5p	400	317	252	186	315	229	364	380	557	269	169	299	31	15	10	379	334	387	533	38	276
mmu-miR-181a-1-3p	4347	4595	3944	2599	3826	3379	4237	3154	3669	2951	2632	2437	1170	1154	973	3170	2942	3031	3815	1506	3216
mmu-miR-181a-5p	95296	101523	79665	45462	83240	109092	132132	100335	125984	82557	78590	78230	45242	49141	36409	107624	85309	93487	155835	38021	67421
mmu-miR-181b-5p	6399	6785	5644	3701	5896	5824	7989	6307	7218	5500	5333	4431	2173	2310	1779	6644	4995	6084	10435	2634	4909
mmu-miR-181c-3p	870	662	504	363	682	730	850	679	985	520	279	419	136	110	77	529	625	630	847	125	495
mmu-miR-181c-5p	12238	9853	7713	4722	8457	11318	13821	11331	17486	8428	5792	7600	2323	2030	1362	12408	9847	8826	18035	1861	7942
mmu-miR-181d-5p	1828	1638	1312	895	1340	1855	2079	1753	2159	1335	1156	1230	439	456	237	1580	1352	1736	2668	465	1193
mmu-miR-182-5p	154	136	85	77	77	194	145	149	214	106	61	51	17	8	8	214	136	218	385	17	95
mmu-miR-183-5p	264	309	226	208	325	205	304	328	342	184	190	119	0	0	0	324	257	290	297	74	275
mmu-miR-1839-3p	69	40	28	18	43	45	64	72	84	39	8	20	0	0	0	66	43	68	73	0	33
mmu-miR-1839-5p	532	477	504	373	449	618	687	702	982	474	353	359	86	67	43	763	534	684	1036	86	418
mmu-miR-184-3p	20	31	28	27	37	57	48	62	131	26	43	20	32	25	9	65	26	86	42	10	23
mmu-miR-1843a-3p	97	95	86	81	88	104	160	113	129	100	85	106	60	67	50	129	109	117	148	69	81
mmu-miR-1843a-5p	957	776	756	512	713	1013	1163	1100	1289	842	533	670	165	146	81	1001	867	1010	1175	235	582
mmu-miR-1843b-5p	380	335	297	219	312	531	574	527	632	403	231	294	73	68	33	503	365	518	630	101	275
mmu-miR-185-3p	80	62	62	63	59	77	88	69	66	58	44	81	21	23	27	65	70	63	66	38	78
mmu-miR-185-5p	512	408	312	214	342	195	440	320	370	321	171	267	47	39	30	353	318	352	469	64	266
mmu-miR-186-3p	20	0	15	17	13	11	16	10	22	9	11	14	0	0	0	17	15	14	11	0	16
mmu-miR-186-5p	13094	10290	9562	6792	9130	8948	13588	11280	16521	10115	6268	8343	1570	1070	497	11890	11644	11770	14371	1804	8572
mmu-miR-187-3p	127	104	128	75	120	41	132	127	127	74	72	106	33	34	27	142	94	97	124	32	96
mmu-miR-187-5p	32	16	26	0	27	0	34	32	23	0	21	0	0	0	0	34	0	0	22	0	28
mmu-miR-188-5p	26	30	21	17	30	20	41	37	26	26	24	31	0	15	0	34	33	36	45	3	28
mmu-miR-18a-3p	13	18	28	21	0	17	15	15	29	14	13	18	9	12	0	39	16	22	26	10	19
mmu-miR-18a-5p	56	37	33	33	37	29	47	41	71	40	6	28	0	0	0	37	50	43	56	0	28
mmu-miR-190a-3p	12	10	5	10	11	0	10	15	22	6	0	0	0	0	0	6	10	7	9	0	11
mmu-miR-190a-5p	270	195	195	124	201	150	341	225	362	200	9	28	3	3	4	230	203	199	268	2	162
mmu-miR-190b-5p	41	21	25	22	24	23	34	17	28	20	9	23	0	0	0	25	11	22	32	0	24
mmu-miR-191-3p	136	109	104	82	88	74	142	136	143	99	45	91	24	13	15	108	111	124	110	18	92
mmu-miR-191-5p	50372	53008	43404	25692	38531	69411	66429	66290	90945	51868	40034	42925	18910	15559	8261	57679	46195	71117	66021	13032	32726
mmu-miR-192-5p	13971	9317	11119	7282	8832	12744	10356	8165	14468	8399	1967	4116	142	92	69	10358	10352	8166	15090	315	7867
mmu-miR-1933-3p	28	18	12	14	25	43	25	34	58	22	15	18	10	10	0	33	28	35	27	0	29
mmu-miR-1934-5p	22	20	24	34	32	0	26	31	29	17	19	30	11	10	8	38	14	34	23	8	28
mmu-miR-1938	42	0	0	20	33	39	34	0	0	0	0	31	8	0	0	31	32	40	50	0	0
mmu-miR-193a-3p	81	32	67	31	60	20	70	100	93	92	22	54	8	8	6	83	69	91	93	8	47
mmu-miR-193a-5p	14	0	11	9	16	8	13	22	18	11	11	8	13	4	8	17	15	21	15	7	11
mmu-miR-193b-3p	254	232	204	101	189	154	335	304	391	292	167	163	143	139	118	323	185	332	340	90	143
mmu-miR-193b-5p	0	11	12	12	13	0	15	18	0	11	0	0	6	5	11	0	7	11	0	0	14
mmu-miR-194-5p	844	514	674	455	576	385	656	579	834	540	195	367	19	12	13	752	663	522	850	36	566
mmu-miR-1940	31	12	27	18	26	0	23	28	27	16	11	28	11	10	10	33	24	0	23	6	22
mmu-miR-1943-3p	22	16	7	14	24	8	18	19	14	22	12	31	8	9	8	27	13	34	15	0	0
mmu-miR-1943-5p	195	179	139	104	140	103	192	133	193	123	138	133	109	51	87	167	105	177	128	74	100
mmu-miR-1947-5p	98	73	80	53	85	64	102	71	82	67	55	83	25	39	23	84	87	87	102	44	77
mmu-miR-1948-3p	37	36	20	26	39	26	30	43	46	25	11	36	6	2	6	56	20	26	42	7	20
mmu-miR-1949	18	18	14	18	25	18	23	15	12	0	9	16	0	0	0	22	17	21	23	0	20
mmu-miR-1954	22	0	20	16	0	11	0	16	0	13	13	25	0	0	0	0	9	22	10	0	0
mmu-miR-1955-5p	27	12	0	19	28	16	21	24	26	24	7	33	7	0	12	23	23	21	14	7	0
mmu-miR-195a-3p	248	222	239	179	212	383	491	460	523	338	267	273	144	151	120	450	266	471	616	157	195
mmu-miR-195a-5p	3102	1907	2357	1345	2063	2881	4936	5111	7117	3066	1207	1742	74	41	57	5839	3426	4826	9142	97	2295
mmu-miR-1960	60	62	48	39	65	32	43	45	43	27	28	47	25	13	9	47	36	34	43	26	48
mmu-miR-1964-3p	126	121	119	90	117	80	98	85	104	94	99	89	67	65	57	108	83	107	132	66	104
mmu-miR-1968-5p	26	39	23	25	26	12	25	18	13	0	9	17	3	10	0	24	0	18	18	11	24
mmu-miR-196b-5p	0	22	23	0	17	11	0	22	12	0	11	16	4	0	0	27	0	17	0	0	0
mmu-miR-1981-3p	142	99	99	71	102	90	194	140	179	122	107	106	54	52	28	117	96	144	145	37	99
mmu-miR-1981-5p	39	41	41	28	29	25	58	55	54	45	39	62	25	39	25	53	35	59	57	29	38
mmu-miR-1982-3p	45	21	0	0	39	17	29	28	25	0	10	19	3	0	4	16	0	17	21	0	28
mmu-miR-1983	97	64	62	42	51	113	216	193	247	109	110	160	51	33	16	109	201	181	137	36	103
mmu-miR-199a-3p/mmu-miR-199b-3p	13606	10818	9993	7020	11238	32570	37683	43228	57321	24609	9601	9506	1154	1080	698	47552	20084	40966	103593	1152	11329
mmu-miR-199a-5p	1161	908	804	597	1025	2561	4692	5866	7314	3023	1206	1165	252	274	239	5189	1825	4905	11113	195	962
mmu-miR-199b-5p	204	203	133	113	210	246	532	664	824	435	71	126	15	19	10	640	325	592	1015	13	172
mmu-miR-19a-3p	103	50	48	60	67	61	64	60	143	52	11	0	0	0	0	67	71	36	138	0	55
mmu-miR-19b-3p	867	470	483	376	520	705	549	572	1141	501	70	146	0	6	0	833	774	431	1210	7	520
mmu-miR-1a-1-5p	58	42	28	21	36	33	59	38	59	32	6	8	0	0	0	31	35	21	51	0	30
mmu-miR-1a-2-5p	8	12	4	5	9	5	0	8	6	3	0	0	0	0	0	0	4	6	13	0	0
mmu-miR-1a-3p	51846	31632	34129	21510	25369	24459	30694	17052	38766	25918	2668	4618	63	54	83	23333	38312	13932	25570	196	24941
mmu-miR-1b-3p	68	0	0	0	0	17	33	0	28	22	7	7	0	0	0	0	55	26	39	0	42
mmu-miR-1b-5p	1105	681	672	423	535	565	618	362	755	231	0	42	0	0	0	205	358	133	210	0	233
mmu-miR-200a-3p	8	5	7	11	15	6	9	0	12	7	0	0	0	0	0	13	9	10	20	0	0
mmu-miR-200b-3p	0	12	16	13	0	8	11	26	17	16	13	10	0	0	8	23	14	25	29	0	15
mmu-miR-200c-3p	21	25	18	16	28	0	13	15	12	22	21	20	7	6	6	22	18	17	29	8	19
mmu-miR-201-5p	53	38	28	28	41	37	44	45	72	39	4	10	0	0	0	41	58	36	41	0	55
mmu-miR-203-3p	765	462	447	315	503	691	601	481	717	483	172	278	11	11	14	820	560	398	1049	26	428
mmu-miR-204-5p	2795	2859	2458	1642	2561	2683	3950	3733	4299	2773	1834	2384	689	688	308	2881	3034	3467	3095	734	2350
mmu-miR-208a-3p	6532	2474	3465	3197	3764	1819	3080	3205	5292	2648	277	539	17	12	14	2319	5289	1981	3026	36	3102
mmu-miR-208a-5p	418	463	386	272	352	109	548	327	458	408	395	471	344	236	246	343	398	471	363	212	305
mmu-miR-208b-3p	1060	746	564	601	848	15264	10492	22439	34711	8218	1067	994	97	102	156	13236	6289	9976	24880	115	2641
mmu-miR-20a-3p	12	8	14	15	13	5	7	11	9	11	6	0	0	0	0	11	0	5	22	0	11
mmu-miR-20a-5p	630	445	382	255	425	320	547	358	668	404	225	346	19	12	12	514	543	441	643	24	414
mmu-miR-210-3p	559	606	443	281	454	672	739	1178	1710	521	452	448	175	218	128	962	507	955	1291	179	348
mmu-miR-210-5p	101	106	105	71	100	91	146	230	275	94	81	113	86	99	60	143	113	167	173	63	75
