"","log2FoldChange","pvalue"
"mmu-miR-501-3p",0.704897126577014,0.00119432561487753
"mmu-miR-3061-3p",-0.554792525702883,0.0149986973086968
"mmu-miR-222-5p",-0.551754147158823,0.0447878891601867
