miRNA	PO1	PO2	PO3	PO4	PO5	PDE5.1	PDE5.2	PDE5.3	PDE5.4	PDE5.5
mmu-miR-499-5p	2023	5298	2896	4457	4700	516	1390	79	21	40
mmu-miR-27a-5p	59	79	128	92	66	58	57	23	32	27
mmu-miR-15b-5p	227	555	553	748	390	357	389	288	342	256
mmu-miR-18a-5p	29	47	41	71	40	6	28	0	0	0
mmu-miR-136-5p	165	251	324	282	215	9	16	2	0	0
mmu-miR-451a	1770	2520	3485	7764	3025	710	1712	66	34	23
mmu-miR-1960	32	43	45	43	27	28	47	25	13	9
mmu-let-7a-1-3p/mmu-let-7c-2-3p	681	964	947	1270	854	66	79	0	6	0
mmu-miR-199a-3p/mmu-miR-199b-3p	32570	37683	43228	57321	24609	9601	9506	1154	1080	698
mmu-miR-669a-5p/mmu-miR-669p-5p	17	19	13	22	18	7	14	0	0	0
