	miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq	 533_TAC+PDE5AI 1_R1.fastq	 536_TAC+PDE5AI 2_R1.fastq	 627_TAC+PDE5AI 3_R1.fastq	 647_TAC+PDE5AI 4_R1.fastq	 697_TAC+PDE5AI 5_R1.fastq	 151_TAC+PDE9AI 1_R1.fastq	 528_TAC+PDE9AI 2_R1.fastq	 529_TAC+PDE9AI 3_R1.fastq	 531_TAC+PDE9AI 4_R1.fastq	 542_TAC+PDE9AI 5_R1.fastq	 676_TAC+PDE9AI 6_R1.fastq
127	mmu-miR-3058-3p	28.0	37.0	34.0	31.0	0.0	0.0	35.0	26.0	23.0	18.0	0.0	42.0	15.0	0.0	0.0	32.0	0.0	0.0	22.0	18.0	27.0
128	mmu-miR-30d-3p	922.0	688.0	689.0	440.0	670.0	500.0	783.0	695.0	930.0	589.0	80.0	164.0	15.0	10.0	10.0	650.0	677.0	488.0	920.0	13.0	543.0
129	mmu-miR-547-3p	56.0	49.0	39.0	31.0	51.0	50.0	87.0	68.0	93.0	59.0	15.0	34.0	0.0	0.0	0.0	62.0	55.0	82.0	65.0	0.0	66.0
130	mmu-miR-362-3p	66.0	30.0	27.0	37.0	38.0	48.0	68.0	67.0	79.0	60.0	10.0	22.0	0.0	0.0	0.0	61.0	55.0	53.0	91.0	0.0	30.0
131	mmu-miR-222-3p	927.0	1077.0	1065.0	792.0	876.0	1522.0	1757.0	2749.0	2957.0	1457.0	1410.0	1532.0	1019.0	928.0	553.0	1830.0	1561.0	2738.0	2512.0	571.0	987.0
132	mmu-miR-499-3p	113.0	48.0	60.0	68.0	92.0	37.0	89.0	65.0	70.0	59.0	24.0	71.0	0.0	0.0	0.0	81.0	85.0	49.0	49.0	0.0	69.0
133	mmu-miR-223-3p	529.0	732.0	443.0	327.0	576.0	432.0	699.0	831.0	982.0	683.0	128.0	178.0	16.0	13.0	6.0	661.0	654.0	636.0	1263.0	16.0	349.0
134	mmu-miR-20a-3p	12.0	8.0	14.0	15.0	13.0	5.0	7.0	11.0	9.0	11.0	6.0	0.0	0.0	0.0	0.0	11.0	0.0	5.0	22.0	0.0	11.0
135	mmu-miR-511-3p	64.0	51.0	43.0	33.0	51.0	36.0	60.0	59.0	102.0	32.0	22.0	49.0	4.0	6.0	0.0	82.0	52.0	75.0	127.0	0.0	42.0
136	mmu-miR-299a-3p	20.0	16.0	0.0	0.0	15.0	25.0	21.0	20.0	19.0	16.0	8.0	0.0	0.0	0.0	0.0	23.0	16.0	21.0	37.0	0.0	11.0
137	mmu-miR-376c-3p	14.0	10.0	9.0	10.0	14.0	15.0	17.0	20.0	28.0	19.0	3.0	0.0	0.0	0.0	0.0	24.0	10.0	16.0	28.0	0.0	17.0
138	mmu-miR-378a-3p	302604.0	274945.0	260392.0	170205.0	227164.0	206245.0	292244.0	201795.0	245493.0	202568.0	160240.0	203613.0	72903.0	64854.0	46024.0	238383.0	221383.0	204682.0	259789.0	79334.0	199620.0
139	mmu-miR-27a-3p	24749.0	17600.0	16814.0	11805.0	17682.0	17418.0	27720.0	29961.0	44238.0	20788.0	6996.0	10863.0	1681.0	1336.0	1007.0	24192.0	23964.0	22829.0	33032.0	1552.0	15542.0
140	mmu-miR-582-3p	278.0	227.0	193.0	148.0	1799.0	464.0	414.0	472.0	602.0	227.0	115.0	137.0	36.0	18.0	11.0	655.0	296.0	319.0	583.0	17.0	173.0
141	mmu-miR-125b-2-3p	2835.0	2124.0	2286.0	1335.0	2065.0	2482.0	3284.0	3455.0	4402.0	2473.0	1373.0	1620.0	388.0	312.0	221.0	2881.0	2476.0	2986.0	4030.0	417.0	1725.0
