	miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq	 533_TAC+PDE5AI 1_R1.fastq	 536_TAC+PDE5AI 2_R1.fastq	 627_TAC+PDE5AI 3_R1.fastq	 647_TAC+PDE5AI 4_R1.fastq	 697_TAC+PDE5AI 5_R1.fastq	 151_TAC+PDE9AI 1_R1.fastq	 528_TAC+PDE9AI 2_R1.fastq	 529_TAC+PDE9AI 3_R1.fastq	 531_TAC+PDE9AI 4_R1.fastq	 542_TAC+PDE9AI 5_R1.fastq	 676_TAC+PDE9AI 6_R1.fastq
210	mmu-miR-201-5p	53.0	38.0	28.0	28.0	41.0	37.0	44.0	45.0	72.0	39.0	4.0	10.0	0.0	0.0	0.0	41.0	58.0	36.0	41.0	0.0	55.0
211	mmu-miR-212-5p	68.0	58.0	32.0	26.0	73.0	46.0	83.0	100.0	219.0	68.0	42.0	68.0	26.0	23.0	17.0	85.0	78.0	102.0	79.0	18.0	56.0
212	mmu-miR-146b-5p	526.0	431.0	371.0	186.0	336.0	2047.0	694.0	1113.0	2672.0	676.0	332.0	350.0	62.0	43.0	17.0	1083.0	619.0	1042.0	1586.0	50.0	254.0
213	mmu-miR-149-5p	12472.0	13274.0	12265.0	8516.0	10300.0	2590.0	16596.0	8921.0	7989.0	10921.0	8845.0	9700.0	6015.0	5065.0	4432.0	13335.0	9596.0	10357.0	11792.0	6383.0	10232.0
214	mmu-miR-185-5p	512.0	408.0	312.0	214.0	342.0	195.0	440.0	320.0	370.0	321.0	171.0	267.0	47.0	39.0	30.0	353.0	318.0	352.0	469.0	64.0	266.0
215	mmu-miR-351-5p	3114.0	3456.0	2757.0	1887.0	3081.0	3260.0	4735.0	5189.0	7414.0	3129.0	3018.0	3271.0	2421.0	2887.0	2068.0	2608.0	3579.0	4941.0	3851.0	1740.0	2535.0
216	mmu-miR-28a-5p	1362.0	1131.0	1295.0	804.0	1182.0	708.0	1831.0	1681.0	2027.0	1325.0	1275.0	1192.0	516.0	481.0	548.0	1807.0	1381.0	1675.0	1913.0	713.0	996.0
217	mmu-miR-215-5p	775.0	332.0	589.0	548.0	343.0	987.0	681.0	663.0	883.0	491.0	49.0	113.0	0.0	0.0	0.0	931.0	659.0	405.0	755.0	5.0	580.0
218	mmu-miR-330-5p	193.0	223.0	173.0	139.0	173.0	165.0	239.0	252.0	314.0	187.0	113.0	150.0	54.0	51.0	46.0	226.0	220.0	254.0	272.0	66.0	150.0
219	mmu-miR-425-5p	854.0	816.0	723.0	494.0	720.0	813.0	1102.0	1150.0	1732.0	798.0	575.0	700.0	231.0	209.0	92.0	1051.0	881.0	1160.0	1338.0	213.0	604.0
220	mmu-miR-18a-5p	56.0	37.0	33.0	33.0	37.0	29.0	47.0	41.0	71.0	40.0	6.0	28.0	0.0	0.0	0.0	37.0	50.0	43.0	56.0	0.0	28.0
221	mmu-miR-423-5p	1913.0	2123.0	2620.0	1921.0	1817.0	1114.0	2865.0	2262.0	2147.0	1847.0	2197.0	1758.0	1562.0	1799.0	1880.0	2334.0	1856.0	2395.0	2464.0	2046.0	1771.0
222	mmu-miR-501-5p	0.0	45.0	0.0	0.0	0.0	31.0	49.0	49.0	39.0	31.0	39.0	0.0	13.0	14.0	10.0	55.0	22.0	36.0	40.0	0.0	31.0
223	mmu-miR-335-5p	348.0	393.0	356.0	256.0	556.0	436.0	477.0	441.0	1309.0	362.0	81.0	138.0	0.0	6.0	0.0	308.0	876.0	384.0	527.0	5.0	548.0
224	mmu-miR-1a-2-5p	8.0	12.0	4.0	5.0	9.0	5.0	0.0	8.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	13.0	0.0	0.0
225	mmu-miR-1306-5p	14.0	32.0	21.0	16.0	28.0	15.0	35.0	27.0	33.0	22.0	26.0	29.0	20.0	25.0	19.0	21.0	22.0	36.0	31.0	16.0	21.0
226	mmu-miR-504-5p	134.0	183.0	97.0	96.0	120.0	69.0	188.0	133.0	194.0	97.0	131.0	118.0	68.0	80.0	41.0	129.0	94.0	133.0	98.0	74.0	145.0
227	mmu-miR-101a-5p	180.0	91.0	118.0	98.0	136.0	83.0	186.0	119.0	130.0	92.0	19.0	44.0	0.0	0.0	0.0	103.0	104.0	73.0	143.0	9.0	82.0
228	mmu-miR-301a-5p	17.0	10.0	0.0	13.0	15.0	7.0	14.0	16.0	20.0	7.0	0.0	8.0	0.0	0.0	0.0	19.0	15.0	20.0	23.0	0.0	14.0
229	mmu-miR-142a-5p	1953.0	907.0	894.0	1317.0	1208.0	1087.0	1246.0	1846.0	3862.0	1142.0	56.0	68.0	10.0	5.0	19.0	1179.0	2031.0	809.0	2936.0	17.0	758.0
230	mmu-miR-210-5p	101.0	106.0	105.0	71.0	100.0	91.0	146.0	230.0	275.0	94.0	81.0	113.0	86.0	99.0	60.0	143.0	113.0	167.0	173.0	63.0	75.0
231	mmu-miR-369-5p	16.0	20.0	21.0	13.0	12.0	16.0	15.0	32.0	35.0	25.0	9.0	12.0	3.0	0.0	0.0	32.0	17.0	22.0	47.0	0.0	15.0
232	mmu-miR-30e-5p	217057.0	129661.0	138620.0	101401.0	135763.0	110597.0	130202.0	95332.0	141520.0	110535.0	25976.0	53896.0	2238.0	1357.0	1357.0	117627.0	143643.0	90762.0	131544.0	4137.0	120243.0
233	mmu-miR-1247-5p	127.0	112.0	133.0	97.0	93.0	403.0	676.0	774.0	1379.0	420.0	286.0	219.0	351.0	448.0	516.0	349.0	215.0	621.0	778.0	176.0	96.0
234	mmu-miR-125a-5p	30455.0	28731.0	25876.0	16835.0	24808.0	19356.0	44706.0	39844.0	46543.0	34751.0	39951.0	34750.0	26915.0	24561.0	23371.0	46725.0	31080.0	44135.0	62166.0	18536.0	27398.0
235	mmu-miR-193b-5p	0.0	11.0	12.0	12.0	13.0	0.0	15.0	18.0	0.0	11.0	0.0	0.0	6.0	5.0	11.0	0.0	7.0	11.0	0.0	0.0	14.0
236	mmu-miR-29b-1-5p	23.0	19.0	15.0	13.0	21.0	14.0	21.0	15.0	11.0	11.0	13.0	5.0	5.0	0.0	0.0	16.0	11.0	26.0	11.0	4.0	18.0
237	mmu-miR-338-5p	22.0	24.0	44.0	20.0	26.0	20.0	35.0	17.0	19.0	16.0	16.0	30.0	8.0	6.0	0.0	41.0	19.0	27.0	28.0	9.0	31.0
238	mmu-miR-374b-5p	180.0	85.0	84.0	74.0	87.0	85.0	97.0	96.0	135.0	94.0	54.0	64.0	4.0	3.0	0.0	137.0	101.0	102.0	207.0	3.0	116.0
239	mmu-miR-485-5p	22.0	14.0	16.0	13.0	28.0	10.0	15.0	28.0	17.0	12.0	13.0	17.0	6.0	8.0	11.0	26.0	16.0	15.0	25.0	5.0	13.0
240	mmu-miR-431-5p	58.0	58.0	51.0	45.0	85.0	118.0	122.0	173.0	209.0	91.0	74.0	87.0	24.0	42.0	23.0	130.0	66.0	173.0	159.0	45.0	54.0
241	mmu-miR-541-5p	408.0	454.0	435.0	295.0	427.0	781.0	892.0	1083.0	1300.0	661.0	647.0	425.0	157.0	166.0	101.0	819.0	438.0	1084.0	1412.0	183.0	317.0
242	mmu-miR-130a-5p	165.0	119.0	107.0	0.0	141.0	0.0	126.0	151.0	137.0	76.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	184.0	117.0	0.0	0.0
243	mmu-miR-183-5p	264.0	309.0	226.0	208.0	325.0	205.0	304.0	328.0	342.0	184.0	190.0	119.0	0.0	0.0	0.0	324.0	257.0	290.0	297.0	74.0	275.0
244	mmu-miR-671-5p	72.0	56.0	67.0	33.0	75.0	49.0	95.0	98.0	154.0	86.0	60.0	81.0	25.0	19.0	25.0	105.0	65.0	92.0	165.0	18.0	49.0
245	mmu-miR-488-5p	21.0	9.0	10.0	0.0	19.0	11.0	14.0	10.0	14.0	6.0	0.0	0.0	0.0	0.0	0.0	24.0	11.0	16.0	0.0	0.0	0.0
246	mmu-miR-345-5p	341.0	239.0	254.0	177.0	238.0	195.0	386.0	291.0	395.0	277.0	201.0	316.0	119.0	96.0	76.0	329.0	272.0	402.0	373.0	81.0	226.0
247	mmu-miR-182-5p	154.0	136.0	85.0	77.0	77.0	194.0	145.0	149.0	214.0	106.0	61.0	51.0	17.0	8.0	8.0	214.0	136.0	218.0	385.0	17.0	95.0
248	mmu-let-7g-5p	26838.0	22112.0	21487.0	14137.0	17639.0	17602.0	24779.0	20455.0	29401.0	18209.0	9767.0	12431.0	1605.0	1159.0	783.0	25580.0	21066.0	20651.0	34416.0	2172.0	19730.0
249	mmu-miR-128-1-5p	58.0	53.0	33.0	28.0	52.0	44.0	52.0	41.0	43.0	36.0	33.0	38.0	24.0	25.0	20.0	52.0	30.0	56.0	48.0	35.0	40.0
250	mmu-miR-23b-5p	0.0	12.0	8.0	11.0	0.0	0.0	12.0	20.0	16.0	16.0	0.0	19.0	0.0	3.0	9.0	23.0	13.0	24.0	26.0	8.0	0.0
251	mmu-miR-187-5p	32.0	16.0	26.0	0.0	27.0	0.0	34.0	32.0	23.0	0.0	21.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	22.0	0.0	28.0
252	mmu-miR-10a-5p	62932.0	24910.0	114944.0	66066.0	29211.0	52891.0	65171.0	58580.0	49727.0	8777.0	32743.0	50125.0	1932.0	1964.0	2037.0	117360.0	11098.0	33662.0	88035.0	7915.0	12273.0
253	mmu-miR-17-5p	400.0	317.0	252.0	186.0	315.0	229.0	364.0	380.0	557.0	269.0	169.0	299.0	31.0	15.0	10.0	379.0	334.0	387.0	533.0	38.0	276.0
254	mmu-miR-449a-5p	0.0	0.0	0.0	9.0	19.0	19.0	15.0	11.0	8.0	9.0	0.0	10.0	0.0	0.0	0.0	12.0	7.0	21.0	15.0	0.0	0.0
255	mmu-miR-224-5p	74.0	87.0	78.0	39.0	77.0	105.0	251.0	309.0	339.0	141.0	150.0	103.0	25.0	26.0	15.0	321.0	95.0	296.0	603.0	29.0	78.0
256	mmu-miR-1198-5p	1571.0	1768.0	1414.0	1222.0	1457.0	876.0	2104.0	1366.0	1425.0	891.0	1320.0	1430.0	590.0	507.0	504.0	1471.0	1160.0	1071.0	1338.0	703.0	1174.0
257	mmu-miR-1955-5p	27.0	12.0	0.0	19.0	28.0	16.0	21.0	24.0	26.0	24.0	7.0	33.0	7.0	0.0	12.0	23.0	23.0	21.0	14.0	7.0	0.0
258	mmu-miR-3086-5p	20.0	9.0	17.0	11.0	17.0	19.0	16.0	17.0	10.0	12.0	14.0	23.0	0.0	0.0	0.0	25.0	13.0	17.0	18.0	8.0	0.0
259	mmu-miR-540-5p	49.0	22.0	37.0	0.0	47.0	29.0	35.0	53.0	25.0	33.0	15.0	50.0	0.0	0.0	0.0	59.0	23.0	40.0	53.0	0.0	36.0
260	mmu-miR-190a-5p	270.0	195.0	195.0	124.0	201.0	150.0	341.0	225.0	362.0	200.0	9.0	28.0	3.0	3.0	4.0	230.0	203.0	199.0	268.0	2.0	162.0
261	mmu-miR-32-5p	151.0	105.0	97.0	119.0	95.0	76.0	126.0	106.0	160.0	101.0	9.0	4.0	0.0	0.0	3.0	84.0	137.0	64.0	106.0	0.0	60.0
262	mmu-miR-34b-5p	20.0	13.0	8.0	11.0	18.0	32.0	43.0	85.0	100.0	42.0	12.0	18.0	0.0	4.0	0.0	73.0	17.0	63.0	107.0	0.0	20.0
263	mmu-miR-672-5p	20.0	7.0	9.0	10.0	21.0	12.0	23.0	15.0	11.0	8.0	6.0	4.0	0.0	5.0	3.0	19.0	12.0	15.0	15.0	7.0	10.0
264	mmu-miR-455-5p	1463.0	626.0	566.0	1342.0	684.0	436.0	648.0	783.0	646.0	356.0	50.0	57.0	9.0	0.0	0.0	888.0	406.0	478.0	783.0	32.0	814.0
265	mmu-miR-34a-5p	1356.0	1079.0	854.0	514.0	674.0	744.0	1441.0	916.0	1359.0	1056.0	715.0	918.0	385.0	319.0	278.0	1028.0	979.0	1104.0	1017.0	314.0	681.0
266	mmu-miR-10b-5p	34592.0	12003.0	60126.0	20761.0	12408.0	71590.0	46007.0	76292.0	59906.0	23519.0	27116.0	14956.0	1711.0	1928.0	1008.0	107356.0	10534.0	21550.0	87880.0	6020.0	7411.0
267	mmu-miR-136-5p	160.0	97.0	113.0	81.0	113.0	165.0	251.0	324.0	282.0	215.0	9.0	16.0	2.0	0.0	0.0	223.0	100.0	119.0	396.0	0.0	85.0
268	mmu-miR-151-5p	19860.0	17502.0	18304.0	10956.0	14365.0	9468.0	22544.0	18129.0	24132.0	16500.0	15635.0	16400.0	8026.0	7375.0	7457.0	17108.0	17875.0	19690.0	18120.0	8198.0	13818.0
269	mmu-miR-666-5p	18.0	21.0	20.0	21.0	25.0	19.0	35.0	37.0	32.0	24.0	17.0	21.0	6.0	9.0	6.0	43.0	20.0	21.0	25.0	19.0	38.0
270	mmu-miR-195a-5p	3102.0	1907.0	2357.0	1345.0	2063.0	2881.0	4936.0	5111.0	7117.0	3066.0	1207.0	1742.0	74.0	41.0	57.0	5839.0	3426.0	4826.0	9142.0	97.0	2295.0
271	mmu-miR-3061-5p	20.0	19.0	28.0	16.0	20.0	17.0	32.0	17.0	28.0	15.0	21.0	34.0	11.0	6.0	3.0	19.0	22.0	27.0	24.0	13.0	26.0
272	mmu-miR-92a-1-5p	64.0	87.0	54.0	51.0	60.0	37.0	91.0	68.0	73.0	58.0	47.0	69.0	36.0	23.0	19.0	84.0	59.0	62.0	84.0	32.0	61.0
273	mmu-miR-339-5p	306.0	314.0	222.0	155.0	250.0	219.0	396.0	341.0	417.0	238.0	152.0	212.0	83.0	109.0	82.0	417.0	240.0	372.0	464.0	95.0	192.0
274	mmu-miR-340-5p	1365.0	756.0	821.0	579.0	843.0	1335.0	1090.0	1275.0	2372.0	836.0	111.0	160.0	28.0	19.0	51.0	1021.0	1393.0	693.0	2059.0	34.0	760.0
275	mmu-miR-676-5p	208.0	152.0	121.0	107.0	194.0	243.0	244.0	222.0	231.0	174.0	47.0	84.0	8.0	0.0	0.0	256.0	167.0	226.0	468.0	12.0	140.0
276	mmu-miR-872-5p	526.0	491.0	441.0	284.0	440.0	354.0	556.0	614.0	817.0	420.0	101.0	191.0	7.0	7.0	7.0	662.0	508.0	544.0	939.0	13.0	404.0
277	mmu-miR-30b-5p	20220.0	12944.0	13905.0	10095.0	14566.0	4679.0	15025.0	12136.0	17859.0	11592.0	3072.0	5387.0	309.0	195.0	188.0	16500.0	14848.0	11889.0	18222.0	601.0	13103.0
278	mmu-miR-29c-5p	96.0	90.0	80.0	37.0	69.0	39.0	78.0	74.0	88.0	61.0	37.0	60.0	13.0	10.0	9.0	67.0	57.0	59.0	76.0	9.0	54.0
279	mmu-miR-361-5p	824.0	685.0	572.0	400.0	532.0	737.0	970.0	901.0	1123.0	643.0	642.0	592.0	249.0	223.0	133.0	1052.0	633.0	1224.0	1099.0	213.0	655.0
280	mmu-miR-409-5p	0.0	11.0	0.0	0.0	10.0	0.0	0.0	16.0	19.0	8.0	3.0	0.0	0.0	0.0	0.0	11.0	7.0	23.0	12.0	0.0	10.0
281	mmu-miR-130b-5p	27.0	52.0	27.0	25.0	29.0	32.0	30.0	33.0	32.0	29.0	19.0	21.0	10.0	8.0	5.0	42.0	30.0	31.0	37.0	9.0	14.0
282	mmu-miR-379-5p	112.0	59.0	62.0	30.0	70.0	146.0	154.0	155.0	247.0	112.0	91.0	56.0	6.0	7.0	0.0	137.0	79.0	156.0	194.0	15.0	60.0
283	mmu-miR-337-5p	47.0	44.0	31.0	21.0	45.0	36.0	74.0	75.0	110.0	53.0	59.0	41.0	25.0	28.0	24.0	67.0	43.0	85.0	115.0	19.0	22.0
284	mmu-miR-3057-5p	177.0	174.0	189.0	133.0	137.0	164.0	188.0	148.0	149.0	124.0	133.0	188.0	89.0	79.0	52.0	136.0	163.0	178.0	143.0	112.0	159.0
285	mmu-let-7b-5p	12324.0	13264.0	11818.0	6909.0	9929.0	7979.0	18552.0	15434.0	17795.0	12520.0	13566.0	8841.0	9313.0	9428.0	10492.0	16613.0	9960.0	16108.0	21917.0	8469.0	8606.0
286	mmu-miR-208a-5p	418.0	463.0	386.0	272.0	352.0	109.0	548.0	327.0	458.0	408.0	395.0	471.0	344.0	236.0	246.0	343.0	398.0	471.0	363.0	212.0	305.0
287	mmu-miR-1947-5p	98.0	73.0	80.0	53.0	85.0	64.0	102.0	71.0	82.0	67.0	55.0	83.0	25.0	39.0	23.0	84.0	87.0	87.0	102.0	44.0	77.0
288	mmu-miR-33-5p	39.0	33.0	20.0	39.0	36.0	26.0	52.0	56.0	77.0	32.0	0.0	0.0	0.0	0.0	0.0	31.0	37.0	35.0	41.0	0.0	31.0
289	mmu-miR-26b-5p	31918.0	23667.0	20528.0	13320.0	18697.0	25013.0	25300.0	19984.0	30182.0	20354.0	6389.0	10583.0	907.0	592.0	394.0	28243.0	22406.0	19261.0	34729.0	944.0	17960.0
290	mmu-miR-376b-5p	26.0	20.0	19.0	21.0	21.0	12.0	48.0	42.0	48.0	26.0	10.0	6.0	0.0	0.0	4.0	38.0	28.0	37.0	59.0	0.0	22.0
291	mmu-miR-152-5p	381.0	284.0	232.0	139.0	276.0	444.0	472.0	454.0	681.0	337.0	118.0	182.0	52.0	46.0	27.0	413.0	320.0	465.0	545.0	50.0	248.0
292	mmu-miR-744-5p	1213.0	1590.0	1356.0	994.0	1180.0	866.0	1656.0	1564.0	1899.0	1144.0	1340.0	1098.0	973.0	1143.0	1107.0	1593.0	1161.0	1513.0	1649.0	1107.0	1084.0
293	mmu-miR-127-5p	60.0	43.0	55.0	41.0	56.0	60.0	62.0	85.0	94.0	51.0	39.0	56.0	0.0	11.0	13.0	65.0	36.0	85.0	100.0	23.0	59.0
294	mmu-miR-3068-5p	41.0	26.0	18.0	24.0	32.0	39.0	43.0	57.0	71.0	16.0	13.0	15.0	3.0	0.0	0.0	33.0	35.0	33.0	42.0	0.0	33.0
295	mmu-miR-1943-5p	195.0	179.0	139.0	104.0	140.0	103.0	192.0	133.0	193.0	123.0	138.0	133.0	109.0	51.0	87.0	167.0	105.0	177.0	128.0	74.0	100.0
296	mmu-miR-99b-5p	12981.0	12702.0	10516.0	6658.0	11013.0	12388.0	21757.0	20346.0	26345.0	17739.0	16337.0	16637.0	10011.0	9575.0	6714.0	21826.0	14893.0	24390.0	33678.0	6535.0	11778.0
297	mmu-miR-144-5p	1034.0	343.0	634.0	703.0	581.0	460.0	393.0	519.0	1169.0	508.0	54.0	132.0	6.0	7.0	3.0	227.0	966.0	469.0	521.0	16.0	574.0
298	mmu-miR-150-5p	8146.0	6141.0	8098.0	5172.0	6285.0	1576.0	11892.0	6487.0	5734.0	7459.0	6318.0	7986.0	4124.0	3396.0	3869.0	8507.0	5705.0	5705.0	5918.0	4630.0	6909.0
299	mmu-miR-29b-2-5p	22.0	30.0	21.0	23.0	25.0	15.0	29.0	12.0	32.0	18.0	27.0	22.0	7.0	10.0	5.0	22.0	23.0	30.0	21.0	10.0	22.0
300	mmu-miR-490-5p	32.0	67.0	32.0	27.0	51.0	26.0	37.0	48.0	45.0	33.0	29.0	46.0	30.0	38.0	19.0	46.0	22.0	42.0	33.0	18.0	25.0
301	mmu-miR-450b-5p	234.0	130.0	139.0	97.0	149.0	134.0	153.0	152.0	318.0	122.0	14.0	29.0	0.0	0.0	0.0	125.0	196.0	113.0	167.0	0.0	121.0
302	mmu-miR-23a-5p	18.0	17.0	15.0	0.0	9.0	0.0	14.0	20.0	13.0	8.0	5.0	13.0	7.0	0.0	10.0	16.0	0.0	21.0	16.0	8.0	0.0
303	mmu-miR-376a-5p	0.0	9.0	11.0	18.0	14.0	0.0	25.0	17.0	27.0	11.0	0.0	0.0	0.0	0.0	0.0	14.0	6.0	16.0	17.0	0.0	15.0
304	mmu-miR-700-5p	34.0	42.0	36.0	32.0	44.0	44.0	61.0	61.0	63.0	32.0	38.0	62.0	33.0	32.0	27.0	84.0	39.0	70.0	79.0	13.0	45.0
305	mmu-miR-15a-5p	2939.0	2229.0	2112.0	1484.0	2055.0	1517.0	3189.0	2456.0	3629.0	2281.0	517.0	1144.0	60.0	34.0	33.0	2806.0	2685.0	2158.0	3576.0	89.0	1790.0
306	mmu-miR-143-5p	276.0	198.0	207.0	139.0	185.0	151.0	273.0	212.0	376.0	263.0	132.0	174.0	50.0	74.0	46.0	339.0	236.0	269.0	369.0	74.0	225.0
307	mmu-miR-331-5p	40.0	35.0	33.0	51.0	60.0	34.0	43.0	23.0	31.0	38.0	28.0	45.0	10.0	18.0	17.0	51.0	33.0	39.0	42.0	17.0	39.0
308	mmu-miR-139-5p	894.0	975.0	742.0	487.0	685.0	364.0	1072.0	606.0	904.0	714.0	565.0	785.0	346.0	288.0	270.0	764.0	655.0	719.0	767.0	245.0	539.0
309	mmu-let-7e-5p	1812.0	1763.0	1725.0	954.0	1729.0	2027.0	3024.0	3025.0	3829.0	1701.0	2612.0	788.0	1346.0	1524.0	1246.0	2947.0	1985.0	2678.0	4519.0	1468.0	1466.0
310	mmu-let-7d-5p	13828.0	12961.0	14405.0	8440.0	10015.0	5522.0	15201.0	11684.0	13675.0	9652.0	10050.0	9276.0	4568.0	4210.0	3403.0	14811.0	10049.0	12752.0	15065.0	5089.0	10447.0
311	mmu-miR-30d-5p	177183.0	140093.0	123783.0	80016.0	121042.0	117248.0	146801.0	112743.0	156159.0	110126.0	81536.0	97984.0	38050.0	30600.0	21625.0	144774.0	115438.0	118623.0	144316.0	35142.0	107964.0
312	mmu-miR-470-5p	30.0	19.0	22.0	13.0	31.0	20.0	29.0	20.0	28.0	18.0	15.0	0.0	0.0	8.0	0.0	31.0	21.0	19.0	30.0	0.0	21.0
313	mmu-miR-362-5p	16.0	21.0	15.0	13.0	29.0	8.0	26.0	28.0	22.0	20.0	13.0	27.0	0.0	0.0	5.0	36.0	22.0	17.0	31.0	0.0	26.0
314	mmu-miR-188-5p	26.0	30.0	21.0	17.0	30.0	20.0	41.0	37.0	26.0	26.0	24.0	31.0	0.0	15.0	0.0	34.0	33.0	36.0	45.0	3.0	28.0
315	mmu-miR-222-5p	24.0	40.0	34.0	26.0	44.0	56.0	46.0	72.0	80.0	39.0	24.0	35.0	5.0	7.0	0.0	59.0	32.0	44.0	42.0	6.0	53.0
316	mmu-miR-499-5p	7998.0	5010.0	5442.0	3625.0	4439.0	2023.0	5298.0	2896.0	4457.0	4700.0	516.0	1390.0	79.0	21.0	40.0	3592.0	6656.0	3518.0	3329.0	78.0	4190.0
317	mmu-miR-223-5p	21.0	38.0	9.0	18.0	34.0	21.0	0.0	42.0	37.0	17.0	13.0	26.0	0.0	0.0	0.0	33.0	21.0	36.0	46.0	0.0	24.0
318	mmu-miR-20a-5p	630.0	445.0	382.0	255.0	425.0	320.0	547.0	358.0	668.0	404.0	225.0	346.0	19.0	12.0	12.0	514.0	543.0	441.0	643.0	24.0	414.0
319	mmu-miR-24-1-5p	62.0	41.0	48.0	30.0	60.0	51.0	102.0	91.0	155.0	67.0	24.0	47.0	16.0	8.0	5.0	94.0	78.0	86.0	111.0	0.0	53.0
320	mmu-miR-299a-5p	12.0	7.0	0.0	0.0	0.0	12.0	13.0	17.0	19.0	6.0	9.0	6.0	5.0	0.0	0.0	20.0	10.0	16.0	23.0	4.0	0.0
321	mmu-miR-378a-5p	2310.0	2472.0	1675.0	1012.0	1727.0	900.0	2300.0	1621.0	2256.0	2018.0	1306.0	1680.0	853.0	676.0	642.0	2064.0	1551.0	1935.0	2178.0	614.0	1287.0
322	mmu-miR-27a-5p	90.0	117.0	78.0	39.0	71.0	59.0	79.0	128.0	92.0	66.0	58.0	57.0	23.0	32.0	27.0	145.0	54.0	75.0	109.0	34.0	81.0
323	mmu-miR-582-5p	31.0	29.0	24.0	23.0	237.0	29.0	41.0	58.0	70.0	24.0	6.0	8.0	0.0	0.0	0.0	78.0	50.0	32.0	79.0	0.0	26.0
324	mmu-miR-146a-5p	2653.0	2484.0	2348.0	1246.0	2437.0	3497.0	3760.0	2570.0	3577.0	2680.0	1935.0	2439.0	487.0	234.0	132.0	3888.0	3530.0	3074.0	6237.0	470.0	1553.0
325	mmu-miR-221-5p	50.0	40.0	33.0	35.0	29.0	50.0	63.0	61.0	100.0	41.0	34.0	49.0	11.0	10.0	5.0	88.0	77.0	67.0	110.0	10.0	57.0
326	mmu-miR-3098-5p	33.0	20.0	34.0	35.0	35.0	16.0	24.0	26.0	24.0	19.0	0.0	29.0	9.0	8.0	0.0	29.0	26.0	28.0	18.0	6.0	34.0
327	mmu-miR-192-5p	13971.0	9317.0	11119.0	7282.0	8832.0	12744.0	10356.0	8165.0	14468.0	8399.0	1967.0	4116.0	142.0	92.0	69.0	10358.0	10352.0	8166.0	15090.0	315.0	7867.0
328	mmu-miR-98-5p	2456.0	2077.0	2017.0	1250.0	1459.0	2886.0	2658.0	2275.0	3768.0	1750.0	825.0	1145.0	42.0	30.0	24.0	2632.0	2314.0	2393.0	3538.0	89.0	1873.0
329	mmu-miR-148a-5p	247.0	174.0	154.0	99.0	150.0	232.0	223.0	262.0	349.0	185.0	63.0	121.0	30.0	20.0	6.0	253.0	189.0	204.0	319.0	23.0	159.0
330	mmu-miR-181c-5p	12238.0	9853.0	7713.0	4722.0	8457.0	11318.0	13821.0	11331.0	17486.0	8428.0	5792.0	7600.0	2323.0	2030.0	1362.0	12408.0	9847.0	8826.0	18035.0	1861.0	7942.0
331	mmu-miR-190b-5p	41.0	21.0	25.0	22.0	24.0	23.0	34.0	17.0	28.0	20.0	9.0	23.0	0.0	0.0	0.0	25.0	11.0	22.0	32.0	0.0	24.0
332	mmu-miR-214-5p	128.0	127.0	100.0	71.0	115.0	252.0	536.0	637.0	746.0	324.0	153.0	143.0	63.0	83.0	51.0	570.0	191.0	577.0	1134.0	40.0	135.0
333	mmu-miR-196b-5p	0.0	22.0	23.0	0.0	17.0	11.0	0.0	22.0	12.0	0.0	11.0	16.0	4.0	0.0	0.0	27.0	0.0	17.0	0.0	0.0	0.0
334	mmu-miR-532-5p	947.0	925.0	688.0	450.0	773.0	1363.0	1431.0	1191.0	1743.0	1051.0	908.0	911.0	370.0	302.0	216.0	1554.0	960.0	1330.0	2669.0	321.0	718.0
335	mmu-miR-204-5p	2795.0	2859.0	2458.0	1642.0	2561.0	2683.0	3950.0	3733.0	4299.0	2773.0	1834.0	2384.0	689.0	688.0	308.0	2881.0	3034.0	3467.0	3095.0	734.0	2350.0
336	mmu-miR-296-5p	26.0	23.0	21.0	22.0	23.0	27.0	43.0	40.0	38.0	18.0	24.0	27.0	13.0	15.0	11.0	43.0	19.0	48.0	55.0	13.0	20.0
337	mmu-miR-132-5p	80.0	79.0	53.0	51.0	93.0	57.0	63.0	110.0	198.0	55.0	53.0	110.0	17.0	18.0	10.0	102.0	77.0	105.0	127.0	16.0	59.0
338	mmu-miR-93-5p	2933.0	2467.0	2113.0	1560.0	2314.0	2708.0	3503.0	2835.0	4177.0	2397.0	1909.0	2356.0	876.0	762.0	469.0	3087.0	2989.0	3244.0	4265.0	755.0	1952.0
339	mmu-miR-31-5p	649.0	735.0	409.0	304.0	652.0	473.0	906.0	862.0	967.0	547.0	452.0	398.0	174.0	215.0	169.0	970.0	488.0	780.0	1404.0	191.0	558.0
340	mmu-miR-186-5p	13094.0	10290.0	9562.0	6792.0	9130.0	8948.0	13588.0	11280.0	16521.0	10115.0	6268.0	8343.0	1570.0	1070.0	497.0	11890.0	11644.0	11770.0	14371.0	1804.0	8572.0
